ID,Name,Description,Related_Attack_Pattern_IDs,ChildOf_IDs,Modes_of_Introduction_Phase,Potential_Mitigations
270,Privilege Context Switching Error,The product does not properly manage privileges while it is switching between different contexts that have different privileges or spheres of control.,17;30;35,269,Architecture and Design;Implementation;Operation,"Very carefully manage the setting, management, and handling of privileges. Explicitly manage trust zones in the software.;Run your code using the lowest privileges that are required to accomplish the necessary tasks [REF-76]. If possible, create isolated accounts with limited privileges that are only used for a single task. That way, a successful attack will not immediately give the attacker access to the rest of the software or its environment. For example, database applications rarely need to run as the database administrator, especially in day-to-day operations.;Consider following the principle of separation of privilege. Require multiple conditions to be met before permitting access to a system resource."
271,Privilege Dropping / Lowering Errors,The product does not drop privileges before passing control of a resource to an actor that does not have those privileges.,,269,Architecture and Design;Implementation;Operation,";Very carefully manage the setting, management, and handling of privileges. Explicitly manage trust zones in the software.;Consider following the principle of separation of privilege. Require multiple conditions to be met before permitting access to a system resource."
272,Least Privilege Violation,The elevated privilege level required to perform operations such as chroot() should be dropped immediately after the operation is performed.,17;35;76,271,Implementation;Operation,"Very carefully manage the setting, management, and handling of privileges. Explicitly manage trust zones in the software.;Follow the principle of least privilege when assigning access rights to entities in a software system.;"
273,Improper Check for Dropped Privileges,The product attempts to drop privileges but does not check or incorrectly checks to see if the drop succeeded.,,754;754;271,Implementation,";Check the results of all functions that return a value and verify that the value is expected.;In Windows, make sure that the process token has the SeImpersonatePrivilege(Microsoft Server 2003). Code that relies on impersonation for security must ensure that the impersonation succeeded, i.e., that a proper privilege demotion happened."
274,Improper Handling of Insufficient Privileges,"The product does not handle or incorrectly handles when it has insufficient privileges to perform an operation, leading to resultant weaknesses.",,755;269,Implementation;Operation,
276,Incorrect Default Permissions,"During installation, installed file permissions are set to allow anyone to modify those files.",1;127;81,732;732,Architecture and Design;Implementation;Installation;Operation,The architecture needs to access and modification attributes for files to only those users who actually require those actions.;
277,Insecure Inherited Permissions,A product defines a set of insecure permissions that are inherited by objects that are created by the program.,,732,Architecture and Design;Implementation;Operation,"Very carefully manage the setting, management, and handling of privileges. Explicitly manage trust zones in the software.;"
278,Insecure Preserved Inherited Permissions,"A product inherits a set of insecure permissions for an object, e.g. when copying from an archive file, without user awareness or involvement.",,732,Architecture and Design;Operation,"Very carefully manage the setting, management, and handling of privileges. Explicitly manage trust zones in the software.;"
279,Incorrect Execution-Assigned Permissions,"While it is executing, the product sets the permissions of an object in a way that violates the intended permissions that have been specified by the user.",81,732,Implementation;Architecture and Design;Operation,"Very carefully manage the setting, management, and handling of privileges. Explicitly manage trust zones in the software.;"
28,Path Traversal: '..\filedir',"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize ""..\"" sequences that can resolve to a location that is outside of that directory.",,23,Implementation,;Inputs should be decoded and canonicalized to the application's current internal representation before being validated (CWE-180). Make sure that the application does not decode the same input twice (CWE-174). Such errors could be used to bypass allowlist validation schemes by introducing dangerous inputs after they have been checked.
280,Improper Handling of Insufficient Permissions or Privileges ,The product does not handle or incorrectly handles when it has insufficient privileges to access resources or functionality as specified by their permissions. This may cause it to follow unexpected code paths that may leave the product in an invalid state.,,755,Implementation,";Always check to see if you have successfully accessed a resource or system functionality, and use proper error handling if it is unsuccessful. Do this even when you are operating in a highly privileged mode, because errors or environmental conditions might still cause a failure. For example, environments with highly granular permissions/privilege models, such as Windows or Linux capabilities, can cause unexpected failures."
281,Improper Preservation of Permissions,"The product does not preserve permissions or incorrectly preserves permissions when copying, restoring, or sharing objects, which can cause them to have less restrictive permissions than intended.",,732;732,Implementation;Operation,
282,Improper Ownership Management,"The product assigns the wrong ownership, or does not properly verify the ownership, of an object or resource.",17;35,284,Architecture and Design,"Very carefully manage the setting, management, and handling of privileges. Explicitly manage trust zones in the software."
283,Unverified Ownership,The product does not properly verify that a critical resource is owned by the proper entity.,,282,Architecture and Design,"Very carefully manage the setting, management, and handling of privileges. Explicitly manage trust zones in the software.;Consider following the principle of separation of privilege. Require multiple conditions to be met before permitting access to a system resource."
284,Improper Access Control,The product does not restrict or incorrectly restricts access to a resource from an unauthorized actor.,19;441;478;479;502;503;536;546;550;551;552;556;558;562;563;564;578,,Architecture and Design;Implementation;Operation,"Very carefully manage the setting, management, and handling of privileges. Explicitly manage trust zones in the software.;"
285,Improper Authorization,The product does not perform or incorrectly performs an authorization check when an actor attempts to access a resource or perform an action.,1;104;127;13;17;39;402;45;5;51;59;60;647;668;76;77;87,284;284,Implementation;Architecture and Design;Operation,";Ensure that you perform access control checks related to your business logic. These checks may be different than the access control checks that you apply to more generic resources such as files, connections, processes, memory, and database records. For example, a database may restrict access for medical records to a specific database user, but each record might only be intended to be accessible to the patient and the patient's doctor.;;;Use the access control capabilities of your operating system and server environment and define your access control lists accordingly. Use a ""default deny"" policy when defining these ACLs."
286,Incorrect User Management,The product does not properly manage a user within its environment.,,284,Architecture and Design;Implementation;Operation,
287,Improper Authentication,"When an actor claims to have a given identity, the product does not prove or insufficiently proves that the claim is correct.",114;115;151;194;22;57;593;633;650;94,284;284,Architecture and Design;Implementation,Use an authentication framework or library such as the OWASP ESAPI Authentication feature.
288,Authentication Bypass Using an Alternate Path or Channel,"A product requires authentication, but the product has an alternate path or channel that does not require authentication.",127;665,306;284,Architecture and Design;Architecture and Design,"Funnel all access through a single choke point to simplify how users can access a resource. For every access, perform a check to determine if the user has permissions to access the resource."
289,Authentication Bypass by Alternate Name,"The product performs authentication based on the name of a resource being accessed, or the name of the actor performing the access, but it does not properly check all possible names for that resource or actor.",,1390,Architecture and Design;Implementation,Avoid making decisions based on names of resources (e.g. files) if those resources can have alternate names.;;Inputs should be decoded and canonicalized to the application's current internal representation before being validated (CWE-180). Make sure that the application does not decode the same input twice (CWE-174). Such errors could be used to bypass allowlist validation schemes by introducing dangerous inputs after they have been checked.
29,Path Traversal: '\..\filename',"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '\..\filename' (leading backslash dot dot) sequences that can resolve to a location that is outside of that directory.",,23,Implementation,;Inputs should be decoded and canonicalized to the application's current internal representation before being validated (CWE-180). Make sure that the application does not decode the same input twice (CWE-174). Such errors could be used to bypass allowlist validation schemes by introducing dangerous inputs after they have been checked.
290,Authentication Bypass by Spoofing,This attack-focused weakness is caused by incorrectly implemented authentication schemes that are subject to spoofing attacks.,21;22;459;461;473;476;59;60;667;94,1390;287,Implementation,
291,Reliance on IP Address for Authentication,The product uses an IP address for authentication.,4,290;923;471,Architecture and Design,Use other means of identity verification that cannot be simply spoofed. Possibilities include a username/password or certificate.
292,DEPRECATED: Trusting Self-reported DNS Name,This entry has been deprecated because it was a duplicate of CWE-350. All content has been transferred to CWE-350.,,,,
293,Using Referer Field for Authentication,"The referer field in HTTP requests can be easily modified and, as such, is not a valid means of message integrity checking.",,290,Architecture and Design,"In order to usefully check if a given action is authorized, some means of strong authentication and method protection must be used. Use other means of authorization that cannot be simply spoofed. Possibilities include a username/password or certificate."
294,Authentication Bypass by Capture-replay,A capture-replay flaw exists when the design of the product makes it possible for a malicious user to sniff network traffic and bypass authentication by replaying it to the server in question to the same effect as the original message (or with minor changes).,102;509;555;561;60;644;645;652;701;94,1390;287,Architecture and Design,"Utilize some sequence or time stamping functionality along with a checksum which takes this into account in order to ensure that messages can be parsed only once.;Since any attacker who can listen to traffic can see sequence numbers, it is necessary to sign messages with some kind of cryptography to ensure that sequence numbers are not simply doctored along with content."
295,Improper Certificate Validation,"The product does not validate, or incorrectly validates, a certificate.",459;475,287;287,Architecture and Design;Implementation;Implementation,"Certificates should be carefully managed and checked to assure that data are encrypted with the intended owner's public key.;If certificate pinning is being used, ensure that all relevant properties of the certificate are fully validated before the certificate is pinned, including the hostname."
296,Improper Following of a Certificate's Chain of Trust,"The product does not follow, or incorrectly follows, the chain of trust for a certificate back to a trusted root certificate, resulting in incorrect trust of any resource that is associated with that certificate.",,295;573,Implementation;Implementation,"Ensure that proper certificate checking is included in the system design.;Understand, and properly implement all checks necessary to ensure the integrity of certificate trust integrity.;If certificate pinning is being used, ensure that all relevant properties of the certificate are fully validated before the certificate is pinned, including the full chain of trust."
297,Improper Validation of Certificate with Host Mismatch,"The product communicates with a host that provides a certificate, but the product does not properly ensure that the certificate is actually associated with that host.",,923;295,Implementation;Implementation,"Fully check the hostname of the certificate and provide the user with adequate information about the nature of the problem and how to proceed.;If certificate pinning is being used, ensure that all relevant properties of the certificate are fully validated before the certificate is pinned, including the hostname."
298,Improper Validation of Certificate Expiration,"A certificate expiration is not validated or is incorrectly validated, so trust may be assigned to certificates that have been abandoned due to age.",,295;672,Implementation;Implementation,"Check for expired certificates and provide the user with adequate information about the nature of the problem and how to proceed.;If certificate pinning is being used, ensure that all relevant properties of the certificate are fully validated before the certificate is pinned, including the expiration."
299,Improper Check for Certificate Revocation,"The product does not check or incorrectly checks the revocation status of a certificate, which may cause it to use a certificate that has been compromised.",,295;404,Implementation;Implementation,"Ensure that certificates are checked for revoked status.;If certificate pinning is being used, ensure that all relevant properties of the certificate are fully validated before the certificate is pinned, including the revoked status."
30,Path Traversal: '\dir\..\filename',"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '\dir\..\filename' (leading backslash dot dot) sequences that can resolve to a location that is outside of that directory.",,23,Implementation,;Inputs should be decoded and canonicalized to the application's current internal representation before being validated (CWE-180). Make sure that the application does not decode the same input twice (CWE-174). Such errors could be used to bypass allowlist validation schemes by introducing dangerous inputs after they have been checked.
300,Channel Accessible by Non-Endpoint,"The product does not adequately verify the identity of actors at both ends of a communication channel, or does not adequately ensure the integrity of the channel, in a way that allows the channel to be accessed or influenced by an actor that is not an endpoint.",466;57;589;590;612;613;615;662;94,923,Architecture and Design,"Always fully authenticate both ends of any communications channel.;Adhere to the principle of complete mediation.;A certificate binds an identity to a cryptographic key to authenticate a communicating party. Often, the certificate takes the encrypted form of the hash of the identity of the subject, the public key, and information such as time of issue or expiration using the issuer's private key. The certificate can be validated by deciphering the certificate with the issuer's public key. See also X.509 certificate signature chains and the PGP certification structure."
301,Reflection Attack in an Authentication Protocol,Simple authentication protocols are subject to reflection attacks if a malicious user can use the target machine to impersonate a trusted user.,90,1390,Architecture and Design,Use different keys for the initiator and responder or of a different type of challenge for the initiator and responder.;Let the initiator prove its identity before proceeding.
302,Authentication Bypass by Assumed-Immutable Data,"The authentication scheme or implementation uses key data elements that are assumed to be immutable, but can be controlled or modified by the attacker.",10;13;21;274;31;39;45;77,1390;807,Architecture and Design;Implementation,"Implement proper protection for immutable data (e.g. environment variable, hidden form fields, etc.)"
303,Incorrect Implementation of Authentication Algorithm,"The requirements for the product dictate the use of an established authentication algorithm, but the implementation of the algorithm is incorrect.",90,1390,Implementation,
304,Missing Critical Step in Authentication,"The product implements an authentication technique, but it skips a step that weakens the technique.",,303;573,Implementation,
305,Authentication Bypass by Primary Weakness,"The authentication algorithm is sound, but the implemented mechanism can be bypassed as the result of a separate weakness that is primary to the authentication error.",,1390,Implementation,
306,Missing Authentication for Critical Function,The product does not perform any authentication for functionality that requires a provable user identity or consumes a significant amount of resources.,12;166;216;36;62,287;287,Architecture and Design,";For any security checks that are performed on the client side, ensure that these checks are duplicated on the server side, in order to avoid CWE-602. Attackers can bypass the client-side checks by modifying values after the checks have been performed, or by changing the client to remove the client-side checks entirely. Then, these modified values would be submitted to the server.;;;When storing data in the cloud (e.g., S3 buckets, Azure blobs, Google Cloud Storage, etc.), use the provider's controls to require strong authentication for users who should be allowed to access the data [REF-1297] [REF-1298] [REF-1302]."
307,Improper Restriction of Excessive Authentication Attempts,"The product does not implement sufficient measures to prevent multiple failed authentication attempts within a short time frame, making it more susceptible to brute force attacks.",16;49;560;565;600;652;653,1390;287;799,Architecture and Design,;
308,Use of Single-factor Authentication,The use of single-factor authentication can lead to unnecessary risk of compromise when compared with the benefits of a dual-factor authentication scheme.,16;49;509;55;555;560;561;565;600;644;645;652;653;70,1390;654,Architecture and Design,"Use multiple independent authentication schemes, which ensures that -- if one of the methods is compromised -- the system itself is still likely safe from compromise."
309,Use of Password System for Primary Authentication,"The use of password systems as the primary means of authentication may be subject to several flaws or shortcomings, each reducing the effectiveness of the mechanism.",16;49;509;55;555;560;561;565;600;652;653;70,1390;654,Architecture and Design,";Use a zero-knowledge password protocol, such as SRP.;Ensure that passwords are stored safely and are not reversible.;Implement password aging functionality that requires passwords be changed after a certain point.;Use a mechanism for determining the strength of a password and notify the user of weak password use.;Inform the user of why password protections are in place, how they work to protect data integrity, and why it is important to heed their warnings."
31,Path Traversal: 'dir\..\..\filename',"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize 'dir\..\..\filename' (multiple internal backslash dot dot) sequences that can resolve to a location that is outside of that directory.",,23,Implementation,;Inputs should be decoded and canonicalized to the application's current internal representation before being validated (CWE-180). Make sure that the application does not decode the same input twice (CWE-174). Such errors could be used to bypass allowlist validation schemes by introducing dangerous inputs after they have been checked.
311,Missing Encryption of Sensitive Data,The product does not encrypt sensitive or critical information before storage or transmission.,157;158;204;31;37;383;384;385;386;387;388;477;609;65,693,Architecture and Design;Operation,"Clearly specify which data or resources are valuable enough that they should be protected by encryption. Require that any transmission or storage of this data/resource should use well-vetted encryption algorithms.;;;;When using industry-approved techniques, use them correctly. Don't cut corners by skipping resource-intensive steps (CWE-325). These steps are often essential for preventing common attacks.;Use naming conventions and strong types to make it easier to spot when sensitive data is being used. When creating structures, objects, or other complex entities, separate the sensitive and non-sensitive data as much as possible."
312,Cleartext Storage of Sensitive Information,The product stores sensitive information in cleartext within a resource that might be accessible to another control sphere.,37,311;311;922,Architecture and Design,"When storing data in the cloud (e.g., S3 buckets, Azure blobs, Google Cloud Storage, etc.), use the provider's controls to encrypt the data at rest. [REF-1297] [REF-1299] [REF-1301]"
313,Cleartext Storage in a File or on Disk,"The product stores sensitive information in cleartext in a file, or on disk.",,312,Architecture and Design,
314,Cleartext Storage in the Registry,The product stores sensitive information in cleartext in the registry.,37,312,Architecture and Design,
315,Cleartext Storage of Sensitive Information in a Cookie,The product stores sensitive information in cleartext in a cookie.,31;37;39;74,312,Architecture and Design,
316,Cleartext Storage of Sensitive Information in Memory,The product stores sensitive information in cleartext in memory.,,312,Architecture and Design,
317,Cleartext Storage of Sensitive Information in GUI,The product stores sensitive information in cleartext within the GUI.,,312,Architecture and Design,
318,Cleartext Storage of Sensitive Information in Executable,The product stores sensitive information in cleartext in an executable.,37;65,312,Implementation,
319,Cleartext Transmission of Sensitive Information,The product transmits sensitive or security-critical data in cleartext in a communication channel that can be sniffed by unauthorized actors.,102;117;383;477;65,311;311,Architecture and Design;Architecture and Design;Operation;System Configuration,"Before transmitting, encrypt the data using reliable, confidentiality-protecting cryptographic protocols.;When using web applications with SSL, use SSL for the entire session from login to logout, not just for the initial login page.;When designing hardware platforms, ensure that approved encryption algorithms (such as those recommended by NIST) protect paths from security critical data to trusted user applications.;Use tools and techniques that require manual (human) analysis, such as penetration testing, threat modeling, and interactive tools that allow the tester to record and modify an active session. These may be more effective than strictly automated techniques. This is especially the case with weaknesses that are related to design and business rules.;Configure servers to use encrypted channels for communication, which may include SSL or other secure protocols."
32,Path Traversal: '...' (Triple Dot),"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '...' (triple dot) sequences that can resolve to a location that is outside of that directory.",,23,Implementation,;Inputs should be decoded and canonicalized to the application's current internal representation before being validated (CWE-180). Make sure that the application does not decode the same input twice (CWE-174). Such errors could be used to bypass allowlist validation schemes by introducing dangerous inputs after they have been checked.
321,Use of Hard-coded Cryptographic Key,The use of a hard-coded cryptographic key significantly increases the possibility that encrypted data may be recovered.,,798;798;798,Architecture and Design,Prevention schemes mirror that of hard-coded password storage.
322,Key Exchange without Entity Authentication,The product performs a key exchange with an actor without verifying the identity of that actor.,,306,Architecture and Design,Ensure that proper authentication is included in the system design.;Understand and properly implement all checks necessary to ensure the identity of entities involved in encrypted communications.
323,"Reusing a Nonce, Key Pair in Encryption",Nonces should be used for the present occasion and only once.,,344,Architecture and Design,"Refuse to reuse nonce values.;Use techniques such as requiring incrementing, time based and/or challenge response to assure uniqueness of nonces."
324,Use of a Key Past its Expiration Date,"The product uses a cryptographic key or password past its expiration date, which diminishes its safety significantly by increasing the timing window for cracking attacks against that key.",,672,Architecture and Design,"Adequate consideration should be put in to the user interface in order to notify users previous to the key's expiration, to explain the importance of new key generation and to walk users through the process as painlessly as possible."
325,Missing Cryptographic Step,"The product does not implement a required step in a cryptographic algorithm, resulting in weaker encryption than advertised by the algorithm.",68,573,Implementation;Requirements,
326,Inadequate Encryption Strength,"The product stores or transmits sensitive data using an encryption scheme that is theoretically sound, but is not strong enough for the level of protection required.",112;192;20,693,Architecture and Design,Use an encryption scheme that is currently considered to be strong by experts in the field.
327,Use of a Broken or Risky Cryptographic Algorithm,The product uses a broken or risky cryptographic algorithm or protocol.,20;459;473;475;608;614;97,693,Architecture and Design;Implementation,";Ensure that the design allows one cryptographic algorithm to be replaced with another in the next generation or version. Where possible, use wrappers to make the interfaces uniform. This will make it easier to upgrade to stronger algorithms. With hardware, design the product at the Intellectual Property (IP) level so that one cryptographic algorithm can be replaced with another in the next generation of the hardware product.;Carefully manage and protect cryptographic keys (see CWE-320). If the keys can be guessed or stolen, then the strength of the cryptography itself is irrelevant.;;When using industry-approved techniques, use them correctly. Don't cut corners by skipping resource-intensive steps (CWE-325). These steps are often essential for preventing common attacks."
328,Use of Weak Hash,"The product uses an algorithm that produces a digest (output value) that does not meet security expectations for a hash function that allows an adversary to reasonably determine the original input (preimage attack), find another input that can produce the same hash (2nd preimage attack), or find multiple inputs that evaluate to the same hash (birthday attack).",461;68,326;327,Architecture and Design,
329,Generation of Predictable IV with CBC Mode,"The product generates and uses a predictable initialization Vector (IV) with Cipher Block Chaining (CBC) Mode, which causes algorithms to be susceptible to dictionary attacks when they are encrypted under the same key.",,1204;573,Implementation,"NIST recommends two methods of generating unpredictable IVs for CBC mode [REF-1172]. The first is to generate the IV randomly. The second method is to encrypt a nonce with the same key and cipher to be used to encrypt the plaintext. In this case the nonce must be unique but can be predictable, since the block cipher will act as a pseudo random permutation."
33,Path Traversal: '....' (Multiple Dot),"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '....' (multiple dot) sequences that can resolve to a location that is outside of that directory.",,23,Implementation,;Inputs should be decoded and canonicalized to the application's current internal representation before being validated (CWE-180). Make sure that the application does not decode the same input twice (CWE-174). Such errors could be used to bypass allowlist validation schemes by introducing dangerous inputs after they have been checked.
330,Use of Insufficiently Random Values,The product uses insufficiently random numbers or values in a security context that depends on unpredictable numbers.,112;485;59,693,Architecture and Design;Implementation,";Consider a PRNG that re-seeds itself as needed from high quality pseudo-random output sources, such as hardware devices.;Use automated static analysis tools that target this type of weakness. Many modern techniques use data flow analysis to minimize the number of false positives. This is not a perfect solution, since 100% accuracy and coverage are not feasible.;Use products or modules that conform to FIPS 140-2 [REF-267] to avoid obvious entropy problems. Consult FIPS 140-2 Annex C (""Approved Random Number Generators"").;Use tools and techniques that require manual (human) analysis, such as penetration testing, threat modeling, and interactive tools that allow the tester to record and modify an active session. These may be more effective than strictly automated techniques. This is especially the case with weaknesses that are related to design and business rules."
331,Insufficient Entropy,"The product uses an algorithm or scheme that produces insufficient entropy, leaving patterns or clusters of values that are more likely to occur than others.",59,330;330,Architecture and Design;Implementation,Determine the necessary entropy to adequately provide for randomness and predictability. This can be achieved by increasing the number of bits of objects such as keys and seeds.
332,Insufficient Entropy in PRNG,"The lack of entropy available for, or used by, a Pseudo-Random Number Generator (PRNG) can be a stability and security threat.",,331,Architecture and Design;Implementation,"Use products or modules that conform to FIPS 140-2 [REF-267] to avoid obvious entropy problems. Consult FIPS 140-2 Annex C (""Approved Random Number Generators"").;Consider a PRNG that re-seeds itself as needed from high-quality pseudo-random output, such as hardware devices.;When deciding which PRNG to use, look at its sources of entropy. Depending on what your security needs are, you may need to use a random number generator that always uses strong random data -- i.e., a random number generator that attempts to be strong but will fail in a weak way or will always provide some middle ground of protection through techniques like re-seeding. Generally, something that always provides a predictable amount of strength is preferable."
333,Improper Handling of Insufficient Entropy in TRNG,True random number generators (TRNG) generally have a limited source of entropy and therefore can fail or block.,,331;755,Architecture and Design;Implementation,"Rather than failing on a lack of random numbers, it is often preferable to wait for more numbers to be created."
334,Small Space of Random Values,"The number of possible random values is smaller than needed by the product, making it more susceptible to brute force attacks.",,330,Architecture and Design;Implementation,"Use products or modules that conform to FIPS 140-2 [REF-267] to avoid obvious entropy problems. Consult FIPS 140-2 Annex C (""Approved Random Number Generators"")."
335,Incorrect Usage of Seeds in Pseudo-Random Number Generator (PRNG),The product uses a Pseudo-Random Number Generator (PRNG) but does not correctly manage seeds.,,330;330,Implementation,
336,Same Seed in Pseudo-Random Number Generator (PRNG),A Pseudo-Random Number Generator (PRNG) uses the same seed each time the product is initialized.,,335,Implementation,"Do not reuse PRNG seeds. Consider a PRNG that periodically re-seeds itself as needed from a high quality pseudo-random output, such as hardware devices.;Use products or modules that conform to FIPS 140-2 [REF-267] to avoid obvious entropy problems, or use the more recent FIPS 140-3 [REF-1192] if possible."
337,Predictable Seed in Pseudo-Random Number Generator (PRNG),"A Pseudo-Random Number Generator (PRNG) is initialized from a predictable seed, such as the process ID or system time.",,335,Implementation,"Use non-predictable inputs for seed generation.;Use products or modules that conform to FIPS 140-2 [REF-267] to avoid obvious entropy problems, or use the more recent FIPS 140-3 [REF-1192] if possible.;Use a PRNG that periodically re-seeds itself using input from high-quality sources, such as hardware devices with high entropy. However, do not re-seed too frequently, or else the entropy source might block."
338,Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG),"The product uses a Pseudo-Random Number Generator (PRNG) in a security context, but the PRNG's algorithm is not cryptographically strong.",,330;330,Architecture and Design;Implementation,"Use functions or hardware which use a hardware-based random number generation for all crypto. This is the recommended solution. Use CyptGenRandom on Windows, or hw_rand() on Linux."
339,Small Seed Space in PRNG,"A Pseudo-Random Number Generator (PRNG) uses a relatively small seed space, which makes it more susceptible to brute force attacks.",,335,Implementation,"Use well vetted pseudo-random number generating algorithms with adequate length seeds. Pseudo-random number generators can produce predictable numbers if the generator is known and the seed can be guessed. A 256-bit seed is a good starting point for producing a ""random enough"" number.;Use products or modules that conform to FIPS 140-2 [REF-267] to avoid obvious entropy problems, or use the more recent FIPS 140-3 [REF-1192] if possible."
34,Path Traversal: '....//',"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '....//' (doubled dot dot slash) sequences that can resolve to a location that is outside of that directory.",,23,Implementation,;Inputs should be decoded and canonicalized to the application's current internal representation before being validated (CWE-180). Make sure that the application does not decode the same input twice (CWE-174). Such errors could be used to bypass allowlist validation schemes by introducing dangerous inputs after they have been checked.
340,Generation of Predictable Numbers or Identifiers,The product uses a scheme that generates numbers or identifiers that are more predictable than required.,,330,Architecture and Design;Implementation,
341,Predictable from Observable State,"A number or object is predictable based on observations that the attacker can make about the state of the system or network, such as time, process ID, etc.",,340,Architecture and Design;Implementation,"Increase the entropy used to seed a PRNG.;Use products or modules that conform to FIPS 140-2 [REF-267] to avoid obvious entropy problems. Consult FIPS 140-2 Annex C (""Approved Random Number Generators"").;Use a PRNG that periodically re-seeds itself using input from high-quality sources, such as hardware devices with high entropy. However, do not re-seed too frequently, or else the entropy source might block."
342,Predictable Exact Value from Previous Values,An exact value or random number can be precisely predicted by observing previous values.,,340,Architecture and Design;Implementation,"Increase the entropy used to seed a PRNG.;Use products or modules that conform to FIPS 140-2 [REF-267] to avoid obvious entropy problems. Consult FIPS 140-2 Annex C (""Approved Random Number Generators"").;Use a PRNG that periodically re-seeds itself using input from high-quality sources, such as hardware devices with high entropy. However, do not re-seed too frequently, or else the entropy source might block."
343,Predictable Value Range from Previous Values,"The product's random number generator produces a series of values which, when observed, can be used to infer a relatively small range of possibilities for the next value that could be generated.",,340,Architecture and Design;Implementation,"Increase the entropy used to seed a PRNG.;Use products or modules that conform to FIPS 140-2 [REF-267] to avoid obvious entropy problems. Consult FIPS 140-2 Annex C (""Approved Random Number Generators"").;Use a PRNG that periodically re-seeds itself using input from high-quality sources, such as hardware devices with high entropy. However, do not re-seed too frequently, or else the entropy source might block."
344,Use of Invariant Value in Dynamically Changing Context,"The product uses a constant value, name, or reference, but this value can (or should) vary across different environments.",,330,Architecture and Design;Implementation,
345,Insufficient Verification of Data Authenticity,"The product does not sufficiently verify the origin or authenticity of data, in a way that causes it to accept invalid data.",111;141;142;148;218;384;385;386;387;388;665;701,693,Architecture and Design;Implementation,
346,Origin Validation Error,The product does not properly verify that the source of data or communication is valid.,111;141;142;160;21;384;385;386;387;388;510;59;60;75;76;89,345;345;284,Architecture and Design;Implementation,
347,Improper Verification of Cryptographic Signature,"The product does not verify, or incorrectly verifies, the cryptographic signature for data.",463;475,345;345,Architecture and Design;Implementation,
348,Use of Less Trusted Source,"The product has two different sources of the same data or information, but it uses the source that has less support for verification, is less trusted, or is less resistant to attack.",141;142;73;76;85,345,Architecture and Design;Implementation,
349,Acceptance of Extraneous Untrusted Data With Trusted Data,"The product, when processing trusted data, accepts any untrusted data that is also included with the trusted data, treating the untrusted data as if it were trusted.",141;142;75,345,Implementation,
35,Path Traversal: '.../...//',"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '.../...//' (doubled triple dot slash) sequences that can resolve to a location that is outside of that directory.",,23,Implementation,;Inputs should be decoded and canonicalized to the application's current internal representation before being validated (CWE-180). Make sure that the application does not decode the same input twice (CWE-174). Such errors could be used to bypass allowlist validation schemes by introducing dangerous inputs after they have been checked.
350,Reliance on Reverse DNS Resolution for a Security-Critical Action,"The product performs reverse DNS resolution on an IP address to obtain the hostname and make a security decision, but it does not properly ensure that the IP address is truly associated with the hostname.",142;275;73;89,290;807,Architecture and Design,Use other means of identity verification that cannot be simply spoofed. Possibilities include a username/password or certificate.;Perform proper forward and reverse DNS lookups to detect DNS spoofing.
351,Insufficient Type Distinction,The product does not properly distinguish between different types of elements in a way that leads to insecure behavior.,,345,Implementation,
352,Cross-Site Request Forgery (CSRF),"The web application does not, or can not, sufficiently verify whether a well-formed, valid, consistent request was intentionally provided by the user who submitted the request.",111;462;467;62,345;345,Architecture and Design,";Ensure that the application is free of cross-site scripting issues (CWE-79), because most CSRF defenses can be bypassed using attacker-controlled script.;Generate a unique nonce for each form, place the nonce into the form, and verify the nonce upon receipt of the form. Be sure that the nonce is not predictable (CWE-330). [REF-332];Identify especially dangerous operations. When the user performs a dangerous operation, send a separate confirmation request to ensure that the user intended to perform that operation.;;Do not use the GET method for any request that triggers a state change.;Check the HTTP Referer header to see if the request originated from an expected page. This could break legitimate functionality, because users or proxies may have disabled sending the Referer for privacy reasons."
353,Missing Support for Integrity Check,"The product uses a transmission protocol that does not include a mechanism for verifying the integrity of the data during transmission, such as a checksum.",13;14;389;39;665;74;75,345,Architecture and Design;Implementation,"Add an appropriately sized checksum to the protocol, ensuring that data received may be simply validated before it is parsed and used.;Ensure that the checksums present in the protocol design are properly implemented and added to each message before it is sent."
354,Improper Validation of Integrity Check Value,"The product does not validate or incorrectly validates the integrity check values or ""checksums"" of a message. This may prevent it from detecting if the data has been modified or corrupted in transmission.",145;463;75,345;345;754,Architecture and Design;Implementation,Ensure that the checksums present in messages are properly checked in accordance with the protocol specification before they are parsed and used.
356,Product UI does not Warn User of Unsafe Actions,The product's user interface does not warn the user before undertaking an unsafe action on behalf of that user. This makes it easier for attackers to trick users into inflicting damage to their system.,,221,Architecture and Design;Implementation,
357,Insufficient UI Warning of Dangerous Operations,"The user interface provides a warning to a user regarding dangerous or sensitive operations, but the warning is not noticeable enough to warrant attention.",,693,Architecture and Design;Implementation,
